onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00637445400025	5	attend	neutral	102	n/a	n/a	1	1.0064	5	att_neut	n/a
7.0140518219996	3	rate	n/a	n/a	98	0.319798287000594	1	7.0141	3	rating_par	-1.4815
15.0133253880003	5	attend	negative	41	n/a	n/a	2	15.0133	5	att_neg	n/a
21.0043483059999	3	rate	n/a	n/a	121	0.399302212999828	2	21.0043	3	rating_par	-0.4815
29.003512411	5	attend	negative	49	n/a	n/a	3	29.0035	5	att_neg	n/a
36.0069605440003	3	rate	n/a	n/a	114	0.418827201999193	3	36.007	3	rating_par	1.5185
41.0023546769999	5	suppress	negative	77	n/a	n/a	4	41.0024	5	suppr_neg	n/a
48.0057462309996	3	rate	n/a	n/a	103	0.781980929999918	4	48.0057	3	rating_par	0.5185
53.0176376720001	5	suppress	negative	79	n/a	n/a	5	53.0176	5	suppr_neg	n/a
61.0167321469999	3	rate	n/a	n/a	103	0.643463606999831	5	61.0167	3	rating_par	0.5185
69.0160460830002	5	attend	negative	51	n/a	n/a	6	69.016	5	att_neg	n/a
76.0028421819998	3	rate	n/a	n/a	114	0.400460184000622	6	76.0028	3	rating_par	1.5185
83.0062966839996	5	suppress	negative	63	n/a	n/a	7	83.0063	5	suppr_neg	n/a
89.013909063	3	rate	n/a	n/a	121	1.84350389599967	7	89.0139	3	rating_par	-0.4815
100.016969803	5	attend	neutral	112	n/a	n/a	8	100.017	5	att_neut	n/a
106.008017218	3	rate	n/a	n/a	98	0.579846072000691	8	106.008	3	rating_par	-1.4815
111.003455815	5	attend	neutral	115	n/a	n/a	9	111.0035	5	att_neut	n/a
117.011065253	3	rate	n/a	n/a	98	0.408592863000194	9	117.0111	3	rating_par	-1.4815
121.010674526	5	suppress	negative	70	n/a	n/a	10	121.0107	5	suppr_neg	n/a
127.00175122	3	rate	n/a	n/a	121	1.0010088250001	10	127.0018	3	rating_par	-0.4815
139.017145749	5	attend	negative	48	n/a	n/a	11	139.0171	5	att_neg	n/a
146.003910017	3	rate	n/a	n/a	114	0.488032089000626	11	146.0039	3	rating_par	1.5185
150.003490124	5	attend	neutral	116	n/a	n/a	12	150.0035	5	att_neut	n/a
157.00690173	3	rate	n/a	n/a	0	0	12	157.0069	3	junk_rating	n/a
163.014621066	5	suppress	negative	74	n/a	n/a	13	163.0146	5	suppr_neg	n/a
171.013679116	3	rate	n/a	n/a	103	0.340764719999243	13	171.0137	3	rating_par	0.5185
176.009191557	5	attend	neutral	103	n/a	n/a	14	176.0092	5	att_neut	n/a
183.012520964	3	rate	n/a	n/a	98	0.356408765999731	14	183.0125	3	rating_par	-1.4815
188.007947917	5	attend	neutral	117	n/a	n/a	15	188.0079	5	att_neut	n/a
196.007084243	3	rate	n/a	n/a	98	0.404043569000351	15	196.0071	3	rating_par	-1.4815
201.002265224	5	attend	negative	42	n/a	n/a	16	201.0023	5	att_neg	n/a
208.005773135	3	rate	n/a	n/a	114	0.308786213000531	16	208.0058	3	rating_par	1.5185
212.00533656	5	attend	neutral	113	n/a	n/a	17	212.0053	5	att_neut	n/a
219.008859209	3	rate	n/a	n/a	121	0.441535020000629	17	219.0089	3	rating_par	-0.4815
225.016558624	5	attend	negative	59	n/a	n/a	18	225.0166	5	att_neg	n/a
233.015713388	3	rate	n/a	n/a	103	0.458902168999884	18	233.0157	3	rating_par	0.5185
240.00257914	5	attend	neutral	109	n/a	n/a	19	240.0026	5	att_neut	n/a
247.005929663	3	rate	n/a	n/a	98	0.387704595999821	19	247.0059	3	rating_par	-1.4815
252.001134466	5	suppress	negative	62	n/a	n/a	20	252.0011	5	suppr_neg	n/a
