onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00878158999967	5	attend	negative	57	n/a	n/a	1	1.0088	5	att_neg	n/a
8.01217264299976	3	rate	n/a	n/a	121	0.614649869999994	1	8.0122	3	rating_par	-0.1379
13.0073892840001	5	attend	neutral	108	n/a	n/a	2	13.0074	5	att_neut	n/a
19.0151587589999	3	rate	n/a	n/a	98	0.54498917500041	2	19.0152	3	rating_par	-1.1379
29.0056733090005	5	attend	negative	60	n/a	n/a	3	29.0057	5	att_neg	n/a
37.004970336	3	rate	n/a	n/a	121	0.604899220000334	3	37.005	3	rating_par	-0.1379
43.0127399100002	5	suppress	negative	75	n/a	n/a	4	43.0127	5	suppr_neg	n/a
49.0037487810005	3	rate	n/a	n/a	103	0.96361010199962	4	49.0037	3	rating_par	0.8621
53.00326597	5	suppress	negative	64	n/a	n/a	5	53.0033	5	suppr_neg	n/a
60.0066684189997	3	rate	n/a	n/a	103	0.337206895000236	5	60.0067	3	rating_par	0.8621
65.0020375240001	5	suppress	negative	76	n/a	n/a	6	65.002	5	suppr_neg	n/a
71.0097231150003	3	rate	n/a	n/a	121	0.317202535999968	6	71.0097	3	rating_par	-0.1379
77.0174631959999	5	suppress	negative	67	n/a	n/a	7	77.0175	5	suppr_neg	n/a
84.0042436069998	3	rate	n/a	n/a	103	0.427448954999818	7	84.0042	3	rating_par	0.8621
89.0162257880002	5	attend	neutral	101	n/a	n/a	8	89.0162	5	att_neut	n/a
95.0073199839999	3	rate	n/a	n/a	98	0.537902830999883	8	95.0073	3	rating_par	-1.1379
99.0068198959998	5	attend	negative	47	n/a	n/a	9	99.0068	5	att_neg	n/a
105.014581875	3	rate	n/a	n/a	121	0.665556766000009	9	105.0146	3	rating_par	-0.1379
111.005568098	5	attend	negative	53	n/a	n/a	10	111.0056	5	att_neg	n/a
119.004737089	3	rate	n/a	n/a	114	0.418762025999968	10	119.0047	3	rating_par	1.8621
127.003863216	5	suppress	negative	71	n/a	n/a	11	127.0039	5	suppr_neg	n/a
134.007498889	3	rate	n/a	n/a	0	0	11	134.0075	3	junk_rating	n/a
141.010838146	5	attend	neutral	119	n/a	n/a	12	141.0108	5	att_neut	n/a
147.001882236	3	rate	n/a	n/a	98	0.591194858000563	12	147.0019	3	rating_par	-1.1379
151.00151529	5	attend	negative	44	n/a	n/a	13	151.0015	5	att_neg	n/a
159.017332563	3	rate	n/a	n/a	114	0.759795840999686	13	159.0173	3	rating_par	1.8621
170.003783602	5	attend	neutral	114	n/a	n/a	14	170.0038	5	att_neut	n/a
177.007163886	3	rate	n/a	n/a	98	0.353654493999784	14	177.0072	3	rating_par	-1.1379
183.014834014	5	attend	negative	54	n/a	n/a	15	183.0148	5	att_neg	n/a
190.00171594	3	rate	n/a	n/a	103	0.31183684699954	15	190.0017	3	rating_par	0.8621
194.017912965	5	attend	neutral	105	n/a	n/a	16	194.0179	5	att_neut	n/a
201.004562007	3	rate	n/a	n/a	98	0.482319425999776	16	201.0046	3	rating_par	-1.1379
205.004346369	5	attend	neutral	118	n/a	n/a	17	205.0043	5	att_neut	n/a
212.007596412	3	rate	n/a	n/a	98	0.384931282000252	17	212.0076	3	rating_par	-1.1379
217.002947231	5	suppress	negative	66	n/a	n/a	18	217.0029	5	suppr_neg	n/a
223.010650413	3	rate	n/a	n/a	121	1.19639603700034	18	223.0107	3	rating_par	-0.1379
233.001328427	5	attend	neutral	107	n/a	n/a	19	233.0013	5	att_neut	n/a
241.017142312	3	rate	n/a	n/a	98	0.437873826000214	19	241.0171	3	rating_par	-1.1379
248.003982471	5	attend	negative	56	n/a	n/a	20	248.004	5	att_neg	n/a
254.011645339	3	rate	n/a	n/a	121	0.372914952999963	20	254.0116	3	rating_par	-0.1379
259.00692823	5	suppress	negative	69	n/a	n/a	21	259.0069	5	suppr_neg	n/a
266.0103796	3	rate	n/a	n/a	103	0.479218989999936	21	266.0104	3	rating_par	0.8621
