onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.01727040500009	5	attend	neutral	102	n/a	n/a	1	1.0173	5	att_neut	n/a
7.00843880000002	3	rate	n/a	n/a	98	0.891887671000404	1	7.0084	3	rating_par	-1.0667
15.0074119730002	5	attend	negative	41	n/a	n/a	2	15.0074	5	att_neg	n/a
21.0151528020001	3	rate	n/a	n/a	103	1.78111310600025	2	21.0152	3	rating_par	0.9333
29.0143539250003	5	attend	negative	49	n/a	n/a	3	29.0144	5	att_neg	n/a
36.0011325760001	3	rate	n/a	n/a	98	1.35291472000017	3	36.0011	3	rating_par	-1.0667
41.0129836900001	5	suppress	negative	77	n/a	n/a	4	41.013	5	suppr_neg	n/a
48.0165693970002	3	rate	n/a	n/a	121	1.71296436700004	4	48.0166	3	rating_par	-0.0667
53.0118417910003	5	suppress	negative	79	n/a	n/a	5	53.0118	5	suppr_neg	n/a
61.0109528000003	3	rate	n/a	n/a	121	0.737444756000059	5	61.011	3	rating_par	-0.0667
69.0102712480002	5	attend	negative	51	n/a	n/a	6	69.0103	5	att_neg	n/a
76.0136996330002	3	rate	n/a	n/a	114	0.547006696000153	6	76.0137	3	rating_par	1.9333
83.0170601720001	5	suppress	negative	63	n/a	n/a	7	83.0171	5	suppr_neg	n/a
89.0081896650004	3	rate	n/a	n/a	121	1.03505693199986	7	89.0082	3	rating_par	-0.0667
100.011131272	5	attend	neutral	112	n/a	n/a	8	100.0111	5	att_neut	n/a
106.002139153	3	rate	n/a	n/a	98	0.542755815999953	8	106.0021	3	rating_par	-1.0667
111.014075767	5	attend	neutral	115	n/a	n/a	9	111.0141	5	att_neut	n/a
117.005224538	3	rate	n/a	n/a	98	0.564338703999965	9	117.0052	3	rating_par	-1.0667
121.00480605	5	suppress	negative	70	n/a	n/a	10	121.0048	5	suppr_neg	n/a
127.01248195	3	rate	n/a	n/a	103	1.6782774950002	10	127.0125	3	rating_par	0.9333
139.011355643	5	attend	negative	48	n/a	n/a	11	139.0114	5	att_neg	n/a
146.014627682	3	rate	n/a	n/a	114	0.585881155000152	11	146.0146	3	rating_par	1.9333
150.014403668	5	attend	neutral	116	n/a	n/a	12	150.0144	5	att_neut	n/a
157.001097038	3	rate	n/a	n/a	98	0.856485465999867	12	157.0011	3	rating_par	-1.0667
163.008810688	5	suppress	negative	74	n/a	n/a	13	163.0088	5	suppr_neg	n/a
171.007925321	3	rate	n/a	n/a	121	1.18666225200013	13	171.0079	3	rating_par	-0.0667
