onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00357088600003	5	attend	negative	16	n/a	n/a	1	1.0036	5	att_neg	n/a
8.00707266400013	3	rate	n/a	n/a	103	0.744821289999891	1	8.0071	3	rating_par	1.4333
13.0022667970002	5	attend	neutral	108	n/a	n/a	2	13.0023	5	att_neut	n/a
19.0101148210001	3	rate	n/a	n/a	98	0.506616956000016	2	19.0101	3	rating_par	-0.5667
29.0173873970002	5	attend	negative	13	n/a	n/a	3	29.0174	5	att_neg	n/a
37.0165283900001	3	rate	n/a	n/a	121	0.48166596100009	3	37.0165	3	rating_par	0.4333
43.0076135560003	5	suppress	negative	22	n/a	n/a	4	43.0076	5	suppr_neg	n/a
49.0152775410002	3	rate	n/a	n/a	98	0.94179151399976	4	49.0153	3	rating_par	-0.5667
53.014919749	5	suppress	negative	25	n/a	n/a	5	53.0149	5	suppr_neg	n/a
60.0016463350003	3	rate	n/a	n/a	121	1.21834137299993	5	60.0016	3	rating_par	0.4333
65.0135955790001	5	suppress	negative	35	n/a	n/a	6	65.0136	5	suppr_neg	n/a
71.0046691349999	3	rate	n/a	n/a	121	1.20066416600002	6	71.0047	3	rating_par	0.4333
77.012275997	5	suppress	negative	26	n/a	n/a	7	77.0123	5	suppr_neg	n/a
84.0158391499999	3	rate	n/a	n/a	121	0.586206098000275	7	84.0158	3	rating_par	0.4333
89.0110884599999	5	attend	neutral	119	n/a	n/a	8	89.0111	5	att_neut	n/a
95.0022852890002	3	rate	n/a	n/a	98	0.504103937999844	8	95.0023	3	rating_par	-0.5667
99.0017948700001	5	attend	negative	3	n/a	n/a	9	99.0018	5	att_neg	n/a
105.009510545	3	rate	n/a	n/a	98	0.347967558000164	9	105.0095	3	rating_par	-0.5667
111.017220145	5	attend	negative	1	n/a	n/a	10	111.0172	5	att_neg	n/a
119.016285548	3	rate	n/a	n/a	98	0.442936862999886	10	119.0163	3	rating_par	-0.5667
