onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00373306400024	5	attend	neutral	111	n/a	n/a	1	1.0037	5	att_neut	n/a
7.01141350099988	3	rate	n/a	n/a	98	0.595157978000316	1	7.0114	3	rating_par	-0.7
15.0105360830003	5	attend	negative	17	n/a	n/a	2	15.0105	5	att_neg	n/a
21.0015870430002	3	rate	n/a	n/a	121	1.44282524899972	2	21.0016	3	rating_par	0.3
29.0174600109999	5	attend	negative	14	n/a	n/a	3	29.0175	5	att_neg	n/a
36.0043081660001	3	rate	n/a	n/a	103	0.860549104999791	3	36.0043	3	rating_par	1.3
41.016231567	5	suppress	negative	40	n/a	n/a	4	41.0162	5	suppr_neg	n/a
48.0030501460001	3	rate	n/a	n/a	121	1.00693089200013	4	48.0031	3	rating_par	0.3
53.0149742500003	5	suppress	negative	36	n/a	n/a	5	53.015	5	suppr_neg	n/a
61.0140701680002	3	rate	n/a	n/a	98	1.11558323100007	5	61.0141	3	rating_par	-0.7
69.0132943920003	5	attend	negative	10	n/a	n/a	6	69.0133	5	att_neg	n/a
76.0166384970003	3	rate	n/a	n/a	121	1.59209485699967	6	76.0166	3	rating_par	0.3
83.003549477	5	suppress	negative	23	n/a	n/a	7	83.0035	5	suppr_neg	n/a
89.0113404369999	3	rate	n/a	n/a	98	0.911729677000039	7	89.0113	3	rating_par	-0.7
100.014117924	5	attend	neutral	112	n/a	n/a	8	100.0141	5	att_neut	n/a
106.005363582	3	rate	n/a	n/a	98	0.767142418000276	8	106.0054	3	rating_par	-0.7
111.017282129	5	attend	neutral	113	n/a	n/a	9	111.0173	5	att_neut	n/a
117.008353708	3	rate	n/a	n/a	98	0.561342036000042	9	117.0084	3	rating_par	-0.7
121.007946385	5	suppress	negative	27	n/a	n/a	10	121.0079	5	suppr_neg	n/a
127.01559121	3	rate	n/a	n/a	121	1.20376453200015	10	127.0156	3	rating_par	0.3
139.014452478	5	attend	negative	11	n/a	n/a	11	139.0145	5	att_neg	n/a
146.001188165	3	rate	n/a	n/a	103	0.570354625999698	11	146.0012	3	rating_par	1.3
150.017470045	5	attend	neutral	117	n/a	n/a	12	150.0175	5	att_neut	n/a
157.004255168	3	rate	n/a	n/a	98	0.765057907000028	12	157.0043	3	rating_par	-0.7
163.012015338	5	suppress	negative	39	n/a	n/a	13	163.012	5	suppr_neg	n/a
171.011051486	3	rate	n/a	n/a	121	0.384777972999927	13	171.0111	3	rating_par	0.3
176.006393602	5	attend	neutral	101	n/a	n/a	14	176.0064	5	att_neut	n/a
183.009956896	3	rate	n/a	n/a	98	0.817170117999922	14	183.01	3	rating_par	-0.7
188.005279662	5	attend	neutral	120	n/a	n/a	15	188.0053	5	att_neut	n/a
196.004292743	3	rate	n/a	n/a	98	0.75838863700028	15	196.0043	3	rating_par	-0.7
201.016365692	5	attend	negative	19	n/a	n/a	16	201.0164	5	att_neg	n/a
208.003169466	3	rate	n/a	n/a	121	0.832277964999776	16	208.0032	3	rating_par	0.3
212.00255342	5	attend	neutral	106	n/a	n/a	17	212.0026	5	att_neut	n/a
219.006132137	3	rate	n/a	n/a	98	0.707287176000136	17	219.0061	3	rating_par	-0.7
225.013852564	5	attend	negative	4	n/a	n/a	18	225.0139	5	att_neg	n/a
233.013037935	3	rate	n/a	n/a	103	1.14072213999998	18	233.013	3	rating_par	1.3
240.01652629	5	attend	neutral	104	n/a	n/a	19	240.0165	5	att_neut	n/a
247.003220333	3	rate	n/a	n/a	98	0.750317276999795	19	247.0032	3	rating_par	-0.7
252.01522514	5	suppress	negative	32	n/a	n/a	20	252.0152	5	suppr_neg	n/a
259.00209631	3	rate	n/a	n/a	121	0.431887049000125	20	259.0021	3	rating_par	0.3
263.001472663	5	attend	negative	7	n/a	n/a	21	263.0015	5	att_neg	n/a
270.004972902	3	rate	n/a	n/a	103	0.637294312999984	21	270.005	3	rating_par	1.3
276.01277774	5	attend	negative	8	n/a	n/a	22	276.0128	5	att_neg	n/a
285.007653226	3	rate	n/a	n/a	103	1.20414998300021	22	285.0077	3	rating_par	1.3
292.011125854	5	attend	neutral	105	n/a	n/a	23	292.0111	5	att_neut	n/a
301.005945127	3	rate	n/a	n/a	98	0.663387335000152	23	301.0059	3	rating_par	-0.7
307.013745591	5	suppress	negative	34	n/a	n/a	24	307.0137	5	suppr_neg	n/a
314.017165989	3	rate	n/a	n/a	98	0.930971495999984	24	314.0172	3	rating_par	-0.7
319.012336328	5	suppress	negative	33	n/a	n/a	25	319.0123	5	suppr_neg	n/a
