onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.01201603300001	5	attend	negative	66	n/a	n/a	1	1.012	5	att_neg	n/a
8.01547513700007	3	rate	n/a	n/a	103	0.527805302999923	1	8.0155	3	rating_par	1.2069
13.0106925099999	5	attend	neutral	99	n/a	n/a	2	13.0107	5	att_neut	n/a
19.0019467029999	3	rate	n/a	n/a	98	0.489410999000029	2	19.0019	3	rating_par	-0.7931
29.009077035	5	attend	negative	72	n/a	n/a	3	29.0091	5	att_neg	n/a
37.008310944	3	rate	n/a	n/a	114	0.605815322000126	3	37.0083	3	rating_par	2.2069
43.0159576159999	5	suppress	negative	7	n/a	n/a	4	43.016	5	suppr_neg	n/a
49.0070292739999	3	rate	n/a	n/a	98	0.893486703000008	4	49.007	3	rating_par	-0.7931
53.0066410710001	5	suppress	negative	17	n/a	n/a	5	53.0066	5	suppr_neg	n/a
60.0099791560001	3	rate	n/a	n/a	121	1.74750969499996	5	60.01	3	rating_par	0.2069
65.005411592	5	suppress	negative	4	n/a	n/a	6	65.0054	5	suppr_neg	n/a
71.013035209	3	rate	n/a	n/a	121	0.374658854000018	6	71.013	3	rating_par	0.2069
77.004126905	5	suppress	negative	20	n/a	n/a	7	77.0041	5	suppr_neg	n/a
84.007485176	3	rate	n/a	n/a	98	0.438192185999924	7	84.0075	3	rating_par	-0.7931
89.0029444219999	5	attend	neutral	89	n/a	n/a	8	89.0029	5	att_neut	n/a
95.0106407630001	3	rate	n/a	n/a	98	1.65775974500002	8	95.0106	3	rating_par	-0.7931
99.0102469399999	5	attend	negative	63	n/a	n/a	9	99.0102	5	att_neg	n/a
105.001254064	3	rate	n/a	n/a	121	0.571158837999974	9	105.0013	3	rating_par	0.2069
111.008867154	5	attend	negative	76	n/a	n/a	10	111.0089	5	att_neg	n/a
119.008077494	3	rate	n/a	n/a	103	0.734082658000034	10	119.0081	3	rating_par	1.2069
127.007421448	5	suppress	negative	8	n/a	n/a	11	127.0074	5	suppr_neg	n/a
134.010670526	3	rate	n/a	n/a	98	0.552416989999983	11	134.0107	3	rating_par	-0.7931
141.014160264	5	attend	neutral	96	n/a	n/a	12	141.0142	5	att_neut	n/a
147.005137361	3	rate	n/a	n/a	98	0.703379495000036	12	147.0051	3	rating_par	-0.7931
151.004670977	5	attend	negative	80	n/a	n/a	13	151.0047	5	att_neg	n/a
159.003967812	3	rate	n/a	n/a	121	1.5202567450001	13	159.004	3	rating_par	0.2069
170.006900689	5	attend	neutral	98	n/a	n/a	14	170.0069	5	att_neut	n/a
177.010439436	3	rate	n/a	n/a	98	0.931242443999963	14	177.0104	3	rating_par	-0.7931
183.001485284	5	attend	negative	78	n/a	n/a	15	183.0015	5	att_neg	n/a
190.004912908	3	rate	n/a	n/a	121	1.69529883099995	15	190.0049	3	rating_par	0.2069
194.004572337	5	attend	neutral	94	n/a	n/a	16	194.0046	5	att_neut	n/a
201.007772822	3	rate	n/a	n/a	98	0.855056029999787	16	201.0078	3	rating_par	-0.7931
205.007513517	5	attend	neutral	86	n/a	n/a	17	205.0075	5	att_neut	n/a
212.01089758	3	rate	n/a	n/a	98	0.69866891200013	17	212.0109	3	rating_par	-0.7931
217.00623524	5	suppress	negative	9	n/a	n/a	18	217.0062	5	suppr_neg	n/a
223.013958684	3	rate	n/a	n/a	0	0	18	223.014	3	junk_rating	n/a
233.004692627	5	attend	neutral	85	n/a	n/a	19	233.0047	5	att_neut	n/a
241.003768275	3	rate	n/a	n/a	98	0.545621092999909	19	241.0038	3	rating_par	-0.7931
248.007129434	5	attend	negative	73	n/a	n/a	20	248.0071	5	att_neg	n/a
254.014974207	3	rate	n/a	n/a	103	0.628201246999879	20	254.015	3	rating_par	1.2069
259.010197046	5	suppress	negative	13	n/a	n/a	21	259.0102	5	suppr_neg	n/a
266.013631373	3	rate	n/a	n/a	121	0.69405712899993	21	266.0136	3	rating_par	0.2069
272.004733868	5	attend	neutral	91	n/a	n/a	22	272.0047	5	att_neut	n/a
280.003955134	3	rate	n/a	n/a	98	0.601804403999949	22	280.004	3	rating_par	-0.7931
285.015932334	5	attend	neutral	81	n/a	n/a	23	285.0159	5	att_neut	n/a
292.002675012	3	rate	n/a	n/a	98	0.764470994000021	23	292.0027	3	rating_par	-0.7931
297.014638379	5	suppress	negative	6	n/a	n/a	24	297.0146	5	suppr_neg	n/a
305.013745201	3	rate	n/a	n/a	121	0.550216614000192	24	305.0137	3	rating_par	0.2069
309.013391853	5	attend	negative	67	n/a	n/a	25	309.0134	5	att_neg	n/a
316.016692928	3	rate	n/a	n/a	114	0.613584978000063	25	316.0167	3	rating_par	2.2069
320.016468883	5	suppress	negative	12	n/a	n/a	26	320.0165	5	suppr_neg	n/a
326.007561208	3	rate	n/a	n/a	121	0.373623603999931	26	326.0076	3	rating_par	0.2069
339.001974463	5	suppress	negative	18	n/a	n/a	27	339.002	5	suppr_neg	n/a
347.001142877	3	rate	n/a	n/a	98	0.449993344000177	27	347.0011	3	rating_par	-0.7931
353.008859806	5	attend	negative	61	n/a	n/a	28	353.0089	5	att_neg	n/a
362.003712733	3	rate	n/a	n/a	121	0.535892070000045	28	362.0037	3	rating_par	0.2069
367.015708652	5	attend	negative	79	n/a	n/a	29	367.0157	5	att_neg	n/a
375.014771615	3	rate	n/a	n/a	103	0.572556759000008	29	375.0148	3	rating_par	1.2069
380.010238224	5	attend	neutral	82	n/a	n/a	30	380.0102	5	att_neut	n/a
386.001194903	3	rate	n/a	n/a	98	1.09019230900003	30	386.0012	3	rating_par	-0.7931
