onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00974749599982	5	attend	neutral	102	n/a	n/a	1	1.0097	5.0	att_neut	n/a
7.01737665199971	3	rate	n/a	n/a	98	0.740890822999972	1	7.0174	0.7409	rating_par	-0.7667
15.0166470999998	5	attend	negative	41	n/a	n/a	2	15.0166	5.0	att_neg	n/a
21.0076691979998	3	rate	n/a	n/a	98	0.585677022000255	2	21.0077	0.5857	rating_par	-0.7667
29.0066991209997	5	attend	negative	49	n/a	n/a	3	29.0067	5.0	att_neg	n/a
36.0102833369997	3	rate	n/a	n/a	121	0.304067348999979	3	36.0103	0.3041	rating_par	0.2333
41.005595828	5	suppress	negative	77	n/a	n/a	4	41.0056	5.0	suppr_neg	n/a
48.0089836799998	3	rate	n/a	n/a	121	0.287387812999896	4	48.009	0.2874	rating_par	0.2333
53.0042846189999	5	suppress	negative	79	n/a	n/a	5	53.0043	5.0	suppr_neg	n/a
61.0034697030001	3	rate	n/a	n/a	121	0.332913240999915	5	61.0035	0.3329	rating_par	0.2333
69.0027287129997	5	attend	negative	51	n/a	n/a	6	69.0027	5.0	att_neg	n/a
76.0061122100001	3	rate	n/a	n/a	114	0.324205008999797	6	76.0061	0.3242	rating_par	2.2333
83.0095644339999	5	suppress	negative	63	n/a	n/a	7	83.0096	5.0	suppr_neg	n/a
89.0171387820001	3	rate	n/a	n/a	98	0.553111291999812	7	89.0171	0.5531	rating_par	-0.7667
100.003642682	5	attend	neutral	112	n/a	n/a	8	100.0036	5.0	att_neut	n/a
106.011329954	3	rate	n/a	n/a	98	0.51648915099986	8	106.0113	0.5165	rating_par	-0.7667
111.006576559	5	attend	neutral	115	n/a	n/a	9	111.0066	5.0	att_neut	n/a
117.014299537	3	rate	n/a	n/a	98	0.47579923100011	9	117.0143	0.4758	rating_par	-0.7667
121.013889433	5	suppress	negative	70	n/a	n/a	10	121.0139	5.0	suppr_neg	n/a
127.004926258	3	rate	n/a	n/a	121	0.308173143999738	10	127.0049	0.3082	rating_par	0.2333
139.003785613	5	attend	negative	48	n/a	n/a	11	139.0038	5.0	att_neg	n/a
146.007233737	3	rate	n/a	n/a	114	0.515411959000176	11	146.0072	0.5154	rating_par	2.2333
150.006790994	5	attend	neutral	116	n/a	n/a	12	150.0068	5.0	att_neut	n/a
157.010102158	3	rate	n/a	n/a	98	0.384967718000098	12	157.0101	0.385	rating_par	-0.7667
163.017909324	5	suppress	negative	74	n/a	n/a	13	163.0179	5.0	suppr_neg	n/a
171.017082179	3	rate	n/a	n/a	98	0.343094472000303	13	171.0171	0.3431	rating_par	-0.7667
176.012267734	5	attend	neutral	103	n/a	n/a	14	176.0123	5.0	att_neut	n/a
183.015784279	3	rate	n/a	n/a	98	0.92340739600013	14	183.0158	0.9234	rating_par	-0.7667
188.011091226	5	attend	neutral	117	n/a	n/a	15	188.0111	5.0	att_neut	n/a
196.010354803	3	rate	n/a	n/a	98	0.966208487000131	15	196.0104	0.9662	rating_par	-0.7667
201.005548811	5	attend	negative	42	n/a	n/a	16	201.0055	5.0	att_neg	n/a
208.009006435	3	rate	n/a	n/a	103	1.95965866699999	16	208.009	1.9597	rating_par	1.2333
212.008607118	5	attend	neutral	113	n/a	n/a	17	212.0086	5.0	att_neut	n/a
219.012111955	3	rate	n/a	n/a	98	0.411772635000034	17	219.0121	0.4118	rating_par	-0.7667
225.00319223	5	attend	negative	59	n/a	n/a	18	225.0032	5.0	att_neg	n/a
