onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00146188600002	5	attend	negative	57	n/a	n/a	1	1.0015	5.0	att_neg	n/a
8.00494335099984	3	rate	n/a	n/a	121	0.778495407000264	1	8.0049	0.7785	rating_par	0.2333
13.017046766	5	attend	neutral	108	n/a	n/a	2	13.017	5.0	att_neut	n/a
19.0079898399999	3	rate	n/a	n/a	98	0.435702864000177	2	19.008	0.4357	rating_par	-0.7667
29.0151432870002	5	attend	negative	60	n/a	n/a	3	29.0151	5.0	att_neg	n/a
37.014400605	3	rate	n/a	n/a	121	0.749695675000112	3	37.0144	0.7497	rating_par	0.2333
43.0055170650003	5	suppress	negative	75	n/a	n/a	4	43.0055	5.0	suppr_neg	n/a
49.0132428070001	3	rate	n/a	n/a	121	0.349815847000173	4	49.0132	0.3498	rating_par	0.2333
53.0126913600002	5	suppress	negative	64	n/a	n/a	5	53.0127	5.0	suppr_neg	n/a
60.0162493600001	3	rate	n/a	n/a	98	0.450637978000032	5	60.0162	0.4506	rating_par	-0.7667
65.0114449729999	5	suppress	negative	76	n/a	n/a	6	65.0114	5.0	suppr_neg	n/a
71.0026470339999	3	rate	n/a	n/a	121	0.480253059999995	6	71.0026	0.4803	rating_par	0.2333
77.0102680999998	5	suppress	negative	67	n/a	n/a	7	77.0103	5.0	suppr_neg	n/a
84.013757399	3	rate	n/a	n/a	121	0.585239484999875	7	84.0138	0.5852	rating_par	0.2333
89.009040984	5	attend	neutral	101	n/a	n/a	8	89.009	5.0	att_neut	n/a
95.0166469169999	3	rate	n/a	n/a	98	0.830414966000262	8	95.0166	0.8304	rating_par	-0.7667
99.0163350299999	5	attend	negative	47	n/a	n/a	9	99.0163	5.0	att_neg	n/a
105.007352151	3	rate	n/a	n/a	103	0.364795377000064	9	105.0074	0.3648	rating_par	1.2333
111.015144294	5	attend	negative	53	n/a	n/a	10	111.0151	5.0	att_neg	n/a
119.014133977	3	rate	n/a	n/a	103	0.446714573000008	10	119.0141	0.4467	rating_par	1.2333
127.013433327	5	suppress	negative	71	n/a	n/a	11	127.0134	5.0	suppr_neg	n/a
134.016843982	3	rate	n/a	n/a	98	0.306063031000122	11	134.0168	0.3061	rating_par	-0.7667
141.003695268	5	attend	neutral	119	n/a	n/a	12	141.0037	5.0	att_neut	n/a
147.011283975	3	rate	n/a	n/a	98	0.575476546000118	12	147.0113	0.5755	rating_par	-0.7667
151.010863037	5	attend	negative	44	n/a	n/a	13	151.0109	5.0	att_neg	n/a
159.010181396	3	rate	n/a	n/a	103	0.329769923000185	13	159.0102	0.3298	rating_par	1.2333
170.013158889	5	attend	neutral	114	n/a	n/a	14	170.0132	5.0	att_neut	n/a
177.016476741	3	rate	n/a	n/a	98	0.56264913699988	14	177.0165	0.5626	rating_par	-0.7667
183.007548365	5	attend	negative	54	n/a	n/a	15	183.0075	5.0	att_neg	n/a
190.011104201	3	rate	n/a	n/a	121	0.306461976000264	15	190.0111	0.3065	rating_par	0.2333
194.010588672	5	attend	neutral	105	n/a	n/a	16	194.0106	5.0	att_neut	n/a
201.013978761	3	rate	n/a	n/a	98	0.319105345000025	16	201.014	0.3191	rating_par	-0.7667
205.013752644	5	attend	neutral	118	n/a	n/a	17	205.0138	5.0	att_neut	n/a
212.017168949	3	rate	n/a	n/a	98	0.59688963499957	17	212.0172	0.5969	rating_par	-0.7667
217.012413558	5	suppress	negative	66	n/a	n/a	18	217.0124	5.0	suppr_neg	n/a
223.003470461	3	rate	n/a	n/a	103	0.657435598999655	18	223.0035	0.6574	rating_par	1.2333
233.01075998	5	attend	neutral	107	n/a	n/a	19	233.0108	5.0	att_neut	n/a
241.00997419	3	rate	n/a	n/a	98	1.19607047800037	19	241.01	1.1961	rating_par	-0.7667
248.013316695	5	attend	negative	56	n/a	n/a	20	248.0133	5.0	att_neg	n/a
254.004400987	3	rate	n/a	n/a	103	0.391821764999804	20	254.0044	0.3918	rating_par	1.2333
259.01639316	5	suppress	negative	69	n/a	n/a	21	259.0164	5.0	suppr_neg	n/a
266.003152308	3	rate	n/a	n/a	121	0.322644143999696	21	266.0032	0.3226	rating_par	0.2333
272.011021729	5	attend	neutral	120	n/a	n/a	22	272.011	5.0	att_neut	n/a
280.010066719	3	rate	n/a	n/a	98	0.522989775000042	22	280.0101	0.523	rating_par	-0.7667
285.005301451	5	attend	neutral	111	n/a	n/a	23	285.0053	5.0	att_neut	n/a
292.008808437	3	rate	n/a	n/a	98	0.402133938000134	23	292.0088	0.4021	rating_par	-0.7667
297.004176063	5	suppress	negative	73	n/a	n/a	24	297.0042	5.0	suppr_neg	n/a
305.003223259	3	rate	n/a	n/a	121	0.31157763200008	24	305.0032	0.3116	rating_par	0.2333
309.002989866	5	attend	negative	55	n/a	n/a	25	309.003	5.0	att_neg	n/a
316.006367382	3	rate	n/a	n/a	114	0.469933177000257	25	316.0064	0.4699	rating_par	2.2333
320.005916855	5	suppress	negative	80	n/a	n/a	26	320.0059	5.0	suppr_neg	n/a
326.013608566	3	rate	n/a	n/a	98	0.575098589999925	26	326.0136	0.5751	rating_par	-0.7667
339.008087113	5	suppress	negative	72	n/a	n/a	27	339.0081	5.0	suppr_neg	n/a
347.007347472	3	rate	n/a	n/a	121	0.507851902999846	27	347.0073	0.5079	rating_par	0.2333
353.015081084	5	attend	negative	58	n/a	n/a	28	353.0151	5.0	att_neg	n/a
362.00988785	3	rate	n/a	n/a	98	0.401447648999692	28	362.0099	0.4014	rating_par	-0.7667
367.005184171	5	attend	negative	45	n/a	n/a	29	367.0052	5.0	att_neg	n/a
375.004371111	3	rate	n/a	n/a	121	0.286428266999792	29	375.0044	0.2864	rating_par	0.2333
380.01630251	5	attend	neutral	110	n/a	n/a	30	380.0163	5.0	att_neut	n/a
386.007427943	3	rate	n/a	n/a	98	1.18775840299986	30	386.0074	1.1878	rating_par	-0.7667
