onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00986625499991	5	attend	negative	57	n/a	n/a	1	1.0099	5	att_neg	n/a
8.01344109000001	3	rate	n/a	n/a	103	2.15265209600011	1	8.0134	3	rating_par	1.3667
13.0086723959998	5	attend	neutral	108	n/a	n/a	2	13.0087	5	att_neut	n/a
19.0162458610002	3	rate	n/a	n/a	98	1.49689953399957	2	19.0162	3	rating_par	-0.6333
29.0068809109998	5	attend	negative	60	n/a	n/a	3	29.0069	5	att_neg	n/a
37.0061807339998	3	rate	n/a	n/a	121	2.98544954600038	3	37.0062	3	rating_par	0.3667
43.0139131380001	5	suppress	negative	75	n/a	n/a	4	43.0139	5	suppr_neg	n/a
49.0049948710002	3	rate	n/a	n/a	121	2.45137348899971	4	49.005	3	rating_par	0.3667
53.004408066	5	suppress	negative	64	n/a	n/a	5	53.0044	5	suppr_neg	n/a
60.0079098000001	3	rate	n/a	n/a	98	1.455364551	5	60.0079	3	rating_par	-0.6333
65.0032293680001	5	suppress	negative	76	n/a	n/a	6	65.0032	5	suppr_neg	n/a
71.0108802079999	3	rate	n/a	n/a	98	1.21227166000017	6	71.0109	3	rating_par	-0.6333
77.0019921050002	5	suppress	negative	67	n/a	n/a	7	77.002	5	suppr_neg	n/a
84.0054333100002	3	rate	n/a	n/a	121	0.739368258000013	7	84.0054	3	rating_par	0.3667
89.0174727960002	5	attend	neutral	101	n/a	n/a	8	89.0175	5	att_neut	n/a
95.0083868450001	3	rate	n/a	n/a	98	1.12068027799978	8	95.0084	3	rating_par	-0.6333
99.0081245629999	5	attend	negative	47	n/a	n/a	9	99.0081	5	att_neg	n/a
105.015606468	3	rate	n/a	n/a	121	1.1756554399999	9	105.0156	3	rating_par	0.3667
111.006752725	5	attend	negative	53	n/a	n/a	10	111.0068	5	att_neg	n/a
119.005963281	3	rate	n/a	n/a	103	1.0338740950001	10	119.006	3	rating_par	1.3667
127.005214459	5	suppress	negative	71	n/a	n/a	11	127.0052	5	suppr_neg	n/a
134.008648972	3	rate	n/a	n/a	98	1.0477921239999	11	134.0086	3	rating_par	-0.6333
141.012014333	5	attend	neutral	119	n/a	n/a	12	141.012	5	att_neut	n/a
147.00317375	3	rate	n/a	n/a	98	1.23136212300005	12	147.0032	3	rating_par	-0.6333
151.002822258	5	attend	negative	44	n/a	n/a	13	151.0028	5	att_neg	n/a
159.001820466	3	rate	n/a	n/a	121	0.808298853999986	13	159.0018	3	rating_par	0.3667
170.004839788	5	attend	neutral	114	n/a	n/a	14	170.0048	5	att_neut	n/a
177.008231741	3	rate	n/a	n/a	98	1.55375249799999	14	177.0082	3	rating_par	-0.6333
183.015942689	5	attend	negative	54	n/a	n/a	15	183.0159	5	att_neg	n/a
190.002811815	3	rate	n/a	n/a	98	0.677510668000195	15	190.0028	3	rating_par	-0.6333
194.002317336	5	attend	neutral	105	n/a	n/a	16	194.0023	5	att_neut	n/a
201.005737669	3	rate	n/a	n/a	98	0.809382747999734	16	201.0057	3	rating_par	-0.6333
205.005343117	5	attend	neutral	118	n/a	n/a	17	205.0053	5	att_neut	n/a
212.008777561	3	rate	n/a	n/a	98	1.32770578600002	17	212.0088	3	rating_par	-0.6333
217.004147658	5	suppress	negative	66	n/a	n/a	18	217.0041	5	suppr_neg	n/a
223.011873773	3	rate	n/a	n/a	121	1.44657010299989	18	223.0119	3	rating_par	0.3667
233.002539943	5	attend	neutral	107	n/a	n/a	19	233.0025	5	att_neut	n/a
241.001600079	3	rate	n/a	n/a	98	1.68572188500002	19	241.0016	3	rating_par	-0.6333
248.005150708	5	attend	negative	56	n/a	n/a	20	248.0052	5	att_neg	n/a
254.012863554	3	rate	n/a	n/a	103	0.554926500999954	20	254.0129	3	rating_par	1.3667
259.008187029	5	suppress	negative	69	n/a	n/a	21	259.0082	5	suppr_neg	n/a
266.011563263	3	rate	n/a	n/a	98	0.718573913	21	266.0116	3	rating_par	-0.6333
272.002726163	5	attend	neutral	120	n/a	n/a	22	272.0027	5	att_neut	n/a
280.001804038	3	rate	n/a	n/a	98	2.54166518000011	22	280.0018	3	rating_par	-0.6333
285.013806409	5	attend	neutral	111	n/a	n/a	23	285.0138	5	att_neut	n/a
292.017182236	3	rate	n/a	n/a	98	0.703779344000395	23	292.0172	3	rating_par	-0.6333
297.012449017	5	suppress	negative	73	n/a	n/a	24	297.0124	5	suppr_neg	n/a
305.011822187	3	rate	n/a	n/a	121	0.555173521999677	24	305.0118	3	rating_par	0.3667
309.011338517	5	attend	negative	55	n/a	n/a	25	309.0113	5	att_neg	n/a
316.014762044	3	rate	n/a	n/a	103	0.458982765999735	25	316.0148	3	rating_par	1.3667
320.014253143	5	suppress	negative	80	n/a	n/a	26	320.0143	5	suppr_neg	n/a
326.005382352	3	rate	n/a	n/a	98	0.941224940999746	26	326.0054	3	rating_par	-0.6333
339.016552621	5	suppress	negative	72	n/a	n/a	27	339.0166	5	suppr_neg	n/a
347.015681102	3	rate	n/a	n/a	98	0.617073514999902	27	347.0157	3	rating_par	-0.6333
353.006764002	5	attend	negative	58	n/a	n/a	28	353.0068	5	att_neg	n/a
362.001617961	3	rate	n/a	n/a	103	1.17393750099973	28	362.0016	3	rating_par	1.3667
367.013585621	5	attend	negative	45	n/a	n/a	29	367.0136	5	att_neg	n/a
375.012718773	3	rate	n/a	n/a	103	0.474636350999845	29	375.0127	3	rating_par	1.3667
380.008010688	5	attend	neutral	110	n/a	n/a	30	380.008	5	att_neut	n/a
386.015778956	3	rate	n/a	n/a	98	0.505018330999974	30	386.0158	3	rating_par	-0.6333
