onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.0159696009996	5	attend	neutral	102	n/a	n/a	1	1.016	5	att_neut	n/a
7.0070616009998	3	rate	n/a	n/a	98	0.656989188999887	1	7.0071	3	rating_par	-0.9333
15.0061382099998	5	attend	negative	41	n/a	n/a	2	15.0061	5	att_neg	n/a
21.0139119339997	3	rate	n/a	n/a	114	1.12466863999998	2	21.0139	3	rating_par	2.0667
29.0129834369995	5	attend	negative	49	n/a	n/a	3	29.013	5	att_neg	n/a
36.0165029899999	3	rate	n/a	n/a	98	0.675790821999726	3	36.0165	3	rating_par	-0.9333
41.0118120239999	5	suppress	negative	77	n/a	n/a	4	41.0118	5	suppr_neg	n/a
48.0152597519996	3	rate	n/a	n/a	121	1.62807929500013	4	48.0153	3	rating_par	0.0667
53.010557267	5	suppress	negative	79	n/a	n/a	5	53.0106	5	suppr_neg	n/a
61.0096715019999	3	rate	n/a	n/a	98	0.720571613999709	5	61.0097	3	rating_par	-0.9333
69.0088138319998	5	attend	negative	51	n/a	n/a	6	69.0088	5	att_neg	n/a
76.0123188529997	3	rate	n/a	n/a	114	0.654962142999921	6	76.0123	3	rating_par	2.0667
83.0157352599999	5	suppress	negative	63	n/a	n/a	7	83.0157	5	suppr_neg	n/a
89.0068228059999	3	rate	n/a	n/a	121	1.36276620099989	7	89.0068	3	rating_par	0.0667
100.009917696	5	attend	neutral	112	n/a	n/a	8	100.0099	5	att_neut	n/a
106.001669615	3	rate	n/a	n/a	98	1.12835154300001	8	106.0017	3	rating_par	-0.9333
111.012918616	5	attend	neutral	115	n/a	n/a	9	111.0129	5	att_neut	n/a
117.003951939	3	rate	n/a	n/a	98	1.7763773910001	9	117.004	3	rating_par	-0.9333
121.003473018	5	suppress	negative	70	n/a	n/a	10	121.0035	5	suppr_neg	n/a
127.011133842	3	rate	n/a	n/a	98	0.822728056999949	10	127.0111	3	rating_par	-0.9333
139.009956297	5	attend	negative	48	n/a	n/a	11	139.01	5	att_neg	n/a
146.013458177	3	rate	n/a	n/a	114	0.724745272999826	11	146.0135	3	rating_par	2.0667
150.013064988	5	attend	neutral	116	n/a	n/a	12	150.0131	5	att_neut	n/a
157.016396631	3	rate	n/a	n/a	98	0.764761024000109	12	157.0164	3	rating_par	-0.9333
163.007406887	5	suppress	negative	74	n/a	n/a	13	163.0074	5	suppr_neg	n/a
171.006689155	3	rate	n/a	n/a	98	0.666874524000377	13	171.0067	3	rating_par	-0.9333
176.00196673	5	attend	neutral	103	n/a	n/a	14	176.002	5	att_neut	n/a
183.005359001	3	rate	n/a	n/a	98	0.644832929000131	14	183.0054	3	rating_par	-0.9333
188.017344795	5	attend	neutral	117	n/a	n/a	15	188.0173	5	att_neut	n/a
196.016464532	3	rate	n/a	n/a	98	1.15415609699994	15	196.0165	3	rating_par	-0.9333
201.011873553	5	attend	negative	42	n/a	n/a	16	201.0119	5	att_neg	n/a
208.015285487	3	rate	n/a	n/a	114	0.564897364999979	16	208.0153	3	rating_par	2.0667
212.014905411	5	attend	neutral	113	n/a	n/a	17	212.0149	5	att_neut	n/a
219.001516221	3	rate	n/a	n/a	98	1.10565776700014	17	219.0015	3	rating_par	-0.9333
225.009143241	5	attend	negative	59	n/a	n/a	18	225.0091	5	att_neg	n/a
233.008570139	3	rate	n/a	n/a	103	0.529810147999797	18	233.0086	3	rating_par	1.0667
240.012008406	5	attend	neutral	109	n/a	n/a	19	240.012	5	att_neut	n/a
247.01542046	3	rate	n/a	n/a	98	0.532772944000044	19	247.0154	3	rating_par	-0.9333
252.01066078	5	suppress	negative	62	n/a	n/a	20	252.0107	5	suppr_neg	n/a
259.014175824	3	rate	n/a	n/a	98	0.38935564600024	20	259.0142	3	rating_par	-0.9333
263.01367654	5	attend	negative	52	n/a	n/a	21	263.0137	5	att_neg	n/a
270.017260482	3	rate	n/a	n/a	103	0.456676990999767	21	270.0173	3	rating_par	1.0667
276.008312181	5	attend	negative	43	n/a	n/a	22	276.0083	5	att_neg	n/a
285.003168375	3	rate	n/a	n/a	114	0.43043777999992	22	285.0032	3	rating_par	2.0667
292.00658943	5	attend	neutral	106	n/a	n/a	23	292.0066	5	att_neut	n/a
301.001445865	3	rate	n/a	n/a	98	0.69042989899981	23	301.0014	3	rating_par	-0.9333
307.009248193	5	suppress	negative	78	n/a	n/a	24	307.0092	5	suppr_neg	n/a
314.012627854	3	rate	n/a	n/a	98	0.709178920999875	24	314.0126	3	rating_par	-0.9333
319.008001236	5	suppress	negative	65	n/a	n/a	25	319.008	5	suppr_neg	n/a
325.015673258	3	rate	n/a	n/a	98	0.564790603999882	25	325.0157	3	rating_par	-0.9333
332.002500766	5	suppress	negative	61	n/a	n/a	26	332.0025	5	suppr_neg	n/a
339.005982729	3	rate	n/a	n/a	98	0.878853450999941	26	339.006	3	rating_par	-0.9333
344.017810042	5	suppress	negative	68	n/a	n/a	27	344.0178	5	suppr_neg	n/a
351.004661559	3	rate	n/a	n/a	121	0.477025103999949	27	351.0047	3	rating_par	0.0667
355.004278578	5	attend	negative	50	n/a	n/a	28	355.0043	5	att_neg	n/a
361.011948048	3	rate	n/a	n/a	114	0.48583306699993	28	361.0119	3	rating_par	2.0667
365.011602182	5	attend	neutral	104	n/a	n/a	29	365.0116	5	att_neut	n/a
373.010673505	3	rate	n/a	n/a	98	0.810210497999833	29	373.0107	3	rating_par	-0.9333
381.009952568	5	attend	negative	46	n/a	n/a	30	381.01	5	att_neg	n/a
387.000973078	3	rate	n/a	n/a	114	0.858101045999774	30	387.001	3	rating_par	2.0667
