onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00520670399965	5	attend	negative	38	n/a	n/a	1	1.0052	5.0	att_neg	n/a
8.00861947399972	3	rate	n/a	n/a	121	2.54330251300053	1	8.0086	2.5433	rating_par	0.3333
13.0038541189997	5	attend	neutral	97	n/a	n/a	2	13.0039	5.0	att_neut	n/a
19.011497857	3	rate	n/a	n/a	98	2.29000731100041	2	19.0115	2.29	rating_par	-0.6667
29.0022578759999	5	attend	negative	36	n/a	n/a	3	29.0023	5.0	att_neg	n/a
37.0013763910001	3	rate	n/a	n/a	103	0.683108029999858	3	37.0014	0.6831	rating_par	1.3333
43.0091431359997	5	suppress	negative	53	n/a	n/a	4	43.0091	5.0	suppr_neg	n/a
49.0167558980002	3	rate	n/a	n/a	121	1.39061724099975	4	49.0168	1.3906	rating_par	0.3333
53.0163062279998	5	suppress	negative	42	n/a	n/a	5	53.0163	5.0	suppr_neg	n/a
60.0031544160001	3	rate	n/a	n/a	103	0.802561624000191	5	60.0032	0.8026	rating_par	1.3333
65.0151785690005	5	suppress	negative	47	n/a	n/a	6	65.0152	5.0	suppr_neg	n/a
71.0061641470002	3	rate	n/a	n/a	121	1.16021447399999	6	71.0062	1.1602	rating_par	0.3333
77.0139250669999	5	suppress	negative	49	n/a	n/a	7	77.0139	5.0	suppr_neg	n/a
84.0173581059998	3	rate	n/a	n/a	98	0.6747450820003	7	84.0174	0.6747	rating_par	-0.6667
89.0127161620003	5	attend	neutral	93	n/a	n/a	8	89.0127	5.0	att_neut	n/a
95.0037138549997	3	rate	n/a	n/a	98	0.362987152000642	8	95.0037	0.363	rating_par	-0.6667
99.0033164269998	5	attend	negative	21	n/a	n/a	9	99.0033	5.0	att_neg	n/a
105.010899336	3	rate	n/a	n/a	121	0.938448539999627	9	105.0109	0.9384	rating_par	0.3333
111.002027225	5	attend	negative	25	n/a	n/a	10	111.002	5.0	att_neg	n/a
119.001200107	3	rate	n/a	n/a	103	0.581085234000057	10	119.0012	0.5811	rating_par	1.3333
127.017099961	5	suppress	negative	57	n/a	n/a	11	127.0171	5.0	suppr_neg	n/a
134.003785423	3	rate	n/a	n/a	98	0.304794155999843	11	134.0038	0.3048	rating_par	-0.6667
141.007264945	5	attend	neutral	83	n/a	n/a	12	141.0073	5.0	att_neut	n/a
147.014882447	3	rate	n/a	n/a	121	0.749896994000665	12	147.0149	0.7499	rating_par	0.3333
151.014560557	5	attend	negative	23	n/a	n/a	13	151.0146	5.0	att_neg	n/a
159.01365817	3	rate	n/a	n/a	98	0.302706804000081	13	159.0137	0.3027	rating_par	-0.6667
170.016763735	5	attend	neutral	92	n/a	n/a	14	170.0168	5.0	att_neut	n/a
177.003498929	3	rate	n/a	n/a	98	0.547574388000612	14	177.0035	0.5476	rating_par	-0.6667
183.01125942	5	attend	negative	27	n/a	n/a	15	183.0113	5.0	att_neg	n/a
190.014690541	3	rate	n/a	n/a	121	0.366893921000155	15	190.0147	0.3669	rating_par	0.3333
194.014378627	5	attend	neutral	100	n/a	n/a	16	194.0144	5.0	att_neut	n/a
201.001188049	3	rate	n/a	n/a	98	0.371152603000155	16	201.0012	0.3712	rating_par	-0.6667
205.017297959	5	attend	neutral	85	n/a	n/a	17	205.0173	5.0	att_neut	n/a
212.00407332	3	rate	n/a	n/a	98	0.392832114999692	17	212.0041	0.3928	rating_par	-0.6667
217.01598387	5	suppress	negative	60	n/a	n/a	18	217.016	5.0	suppr_neg	n/a
223.007186755	3	rate	n/a	n/a	121	0.912085738000314	18	223.0072	0.9121	rating_par	0.3333
233.014383301	5	attend	neutral	95	n/a	n/a	19	233.0144	5.0	att_neut	n/a
241.013513299	3	rate	n/a	n/a	98	0.432436525000412	19	241.0135	0.4324	rating_par	-0.6667
248.017093575	5	attend	negative	40	n/a	n/a	20	248.0171	5.0	att_neg	n/a
254.008071884	3	rate	n/a	n/a	121	0.471266380000088	20	254.0081	0.4713	rating_par	0.3333
259.003392309	5	suppress	negative	52	n/a	n/a	21	259.0034	5.0	suppr_neg	n/a
266.006784868	3	rate	n/a	n/a	98	0.293893363999814	21	266.0068	0.2939	rating_par	-0.6667
272.014431585	5	attend	neutral	99	n/a	n/a	22	272.0144	5.0	att_neut	n/a
280.013761225	3	rate	n/a	n/a	98	0.455800183000065	22	280.0138	0.4558	rating_par	-0.6667
285.00905381	5	attend	neutral	82	n/a	n/a	23	285.0091	5.0	att_neut	n/a
292.012446061	3	rate	n/a	n/a	98	0.425350764999166	23	292.0124	0.4254	rating_par	-0.6667
297.007759219	5	suppress	negative	43	n/a	n/a	24	297.0078	5.0	suppr_neg	n/a
305.006992057	3	rate	n/a	n/a	121	1.08568017699963	24	305.007	1.0857	rating_par	0.3333
309.00663046	5	attend	negative	37	n/a	n/a	25	309.0066	5.0	att_neg	n/a
316.010041588	3	rate	n/a	n/a	121	1.03397830300037	25	316.01	1.034	rating_par	0.3333
320.009574489	5	suppress	negative	56	n/a	n/a	26	320.0096	5.0	suppr_neg	n/a
326.017242286	3	rate	n/a	n/a	98	1.41256441800033	26	326.0172	1.4126	rating_par	-0.6667
339.011812174	5	suppress	negative	44	n/a	n/a	27	339.0118	5.0	suppr_neg	n/a
347.010855011	3	rate	n/a	n/a	98	0.409495085999879	27	347.0109	0.4095	rating_par	-0.6667
353.001990525	5	attend	negative	30	n/a	n/a	28	353.002	5.0	att_neg	n/a
362.013450112	3	rate	n/a	n/a	114	0.904224758000055	28	362.0135	0.9042	rating_par	2.3333
367.008892233	5	attend	negative	39	n/a	n/a	29	367.0089	5.0	att_neg	n/a
375.008054161	3	rate	n/a	n/a	121	0.742803227000877	29	375.0081	0.7428	rating_par	0.3333
380.003344877	5	attend	neutral	96	n/a	n/a	30	380.0033	5.0	att_neut	n/a
386.011120867	3	rate	n/a	n/a	98	0.307188277000023	30	386.0111	0.3072	rating_par	-0.6667
