onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.0115228349996	5	attend	neutral	94	n/a	n/a	1	1.0115	5.0	att_neut	n/a
7.00269006100007	3	rate	n/a	n/a	121	1.36031692399956	1	7.0027	1.3603	rating_par	0.0667
15.0019228969995	5	attend	negative	24	n/a	n/a	2	15.0019	5.0	att_neg	n/a
21.0095704129999	3	rate	n/a	n/a	121	0.61370419800005	2	21.0096	0.6137	rating_par	0.0667
29.0086530829994	5	attend	negative	34	n/a	n/a	3	29.0087	5.0	att_neg	n/a
36.0120405379994	3	rate	n/a	n/a	121	0.459595313000136	3	36.012	0.4596	rating_par	0.0667
41.0075446689998	5	suppress	negative	58	n/a	n/a	4	41.0075	5.0	suppr_neg	n/a
48.0109074559996	3	rate	n/a	n/a	98	0.803943298000377	4	48.0109	0.8039	rating_par	-0.9333
53.0062309019995	5	suppress	negative	51	n/a	n/a	5	53.0062	5.0	suppr_neg	n/a
61.0053543099993	3	rate	n/a	n/a	103	0.785512340999958	5	61.0054	0.7855	rating_par	1.0667
69.0045885869995	5	attend	negative	26	n/a	n/a	6	69.0046	5.0	att_neg	n/a
76.0080356399994	3	rate	n/a	n/a	114	0.487726815999849	6	76.008	0.4877	rating_par	2.0667
83.0114717639999	5	suppress	negative	48	n/a	n/a	7	83.0115	5.0	suppr_neg	n/a
89.0024234739994	3	rate	n/a	n/a	121	0.47055249100049	7	89.0024	0.4706	rating_par	0.0667
100.005385124	5	attend	neutral	91	n/a	n/a	8	100.0054	5.0	att_neut	n/a
106.013077875999	3	rate	n/a	n/a	98	0.331487327000104	8	106.0131	0.3315	rating_par	-0.9333
111.008513821999	5	attend	neutral	88	n/a	n/a	9	111.0085	5.0	att_neut	n/a
117.016098417999	3	rate	n/a	n/a	98	0.665546817000177	9	117.0161	0.6655	rating_par	-0.9333
121.015946615999	5	suppress	negative	54	n/a	n/a	10	121.0159	5.0	suppr_neg	n/a
127.006757599	3	rate	n/a	n/a	98	0.707279905999712	10	127.0068	0.7073	rating_par	-0.9333
139.005675171	5	attend	negative	28	n/a	n/a	11	139.0057	5.0	att_neg	n/a
146.00902274	3	rate	n/a	n/a	114	0.344352273000368	11	146.009	0.3444	rating_par	2.0667
150.008639418	5	attend	neutral	84	n/a	n/a	12	150.0086	5.0	att_neut	n/a
157.01207789	3	rate	n/a	n/a	98	0.437067814999864	12	157.0121	0.4371	rating_par	-0.9333
163.003065406	5	suppress	negative	55	n/a	n/a	13	163.0031	5.0	suppr_neg	n/a
171.002275663	3	rate	n/a	n/a	98	1.16549886499979	13	171.0023	1.1655	rating_par	-0.9333
176.014145526	5	attend	neutral	89	n/a	n/a	14	176.0141	5.0	att_neut	n/a
183.000981151	3	rate	n/a	n/a	98	1.00561379499959	14	183.001	1.0056	rating_par	-0.9333
188.013021315	5	attend	neutral	98	n/a	n/a	15	188.013	5.0	att_neut	n/a
196.012158775	3	rate	n/a	n/a	98	0.860574950999762	15	196.0122	0.8606	rating_par	-0.9333
201.00751372	5	attend	negative	31	n/a	n/a	16	201.0075	5.0	att_neg	n/a
208.010920735	3	rate	n/a	n/a	114	0.598693521000314	16	208.0109	0.5987	rating_par	2.0667
212.010582039999	5	attend	neutral	81	n/a	n/a	17	212.0106	5.0	att_neut	n/a
219.013975198	3	rate	n/a	n/a	98	0.353342062000593	17	219.014	0.3533	rating_par	-0.9333
225.004945371	5	attend	negative	32	n/a	n/a	18	225.0049	5.0	att_neg	n/a
233.004111472999	3	rate	n/a	n/a	114	0.627614697000354	18	233.0041	0.6276	rating_par	2.0667
240.007538092999	5	attend	neutral	86	n/a	n/a	19	240.0075	5.0	att_neut	n/a
247.011051127	3	rate	n/a	n/a	98	0.315443547000541	19	247.0111	0.3154	rating_par	-0.9333
252.006322438	5	suppress	negative	46	n/a	n/a	20	252.0063	5.0	suppr_neg	n/a
259.009881465	3	rate	n/a	n/a	121	0.903237615999387	20	259.0099	0.9032	rating_par	0.0667
263.009453924	5	attend	negative	29	n/a	n/a	21	263.0095	5.0	att_neg	n/a
270.012785237	3	rate	n/a	n/a	114	0.626070575000085	21	270.0128	0.6261	rating_par	2.0667
276.004041620999	5	attend	negative	35	n/a	n/a	22	276.004	5.0	att_neg	n/a
285.015417678	3	rate	n/a	n/a	103	0.391067995999947	22	285.0154	0.3911	rating_par	1.0667
292.002294808	5	attend	neutral	90	n/a	n/a	23	292.0023	5.0	att_neut	n/a
301.013842878	3	rate	n/a	n/a	98	0.497875159999239	23	301.0138	0.4979	rating_par	-0.9333
307.004818022	5	suppress	negative	59	n/a	n/a	24	307.0048	5.0	suppr_neg	n/a
314.008384486	3	rate	n/a	n/a	98	0.479616601000089	24	314.0084	0.4796	rating_par	-0.9333
319.00365851	5	suppress	negative	50	n/a	n/a	25	319.0037	5.0	suppr_neg	n/a
325.011363392	3	rate	n/a	n/a	121	1.76330924099966	25	325.0114	1.7633	rating_par	0.0667
332.014685826	5	suppress	negative	41	n/a	n/a	26	332.0147	5.0	suppr_neg	n/a
339.001464401999	3	rate	n/a	n/a	98	0.503964205000557	26	339.0015	0.504	rating_par	-0.9333
344.013511966	5	suppress	negative	45	n/a	n/a	27	344.0135	5.0	suppr_neg	n/a
351.016960202	3	rate	n/a	n/a	121	1.11167485999977	27	351.017	1.1117	rating_par	0.0667
355.016550709	5	attend	negative	33	n/a	n/a	28	355.0166	5.0	att_neg	n/a
361.00762631	3	rate	n/a	n/a	121	1.18438835699999	28	361.0076	1.1844	rating_par	0.0667
365.007229792	5	attend	neutral	87	n/a	n/a	29	365.0072	5.0	att_neut	n/a
373.006333763999	3	rate	n/a	n/a	98	0.552344567000546	29	373.0063	0.5523	rating_par	-0.9333
381.005573429999	5	attend	negative	22	n/a	n/a	30	381.0056	5.0	att_neg	n/a
387.013089413999	3	rate	n/a	n/a	121	0.937654156999997	30	387.0131	0.9377	rating_par	0.0667
