xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
47                       randstim_b_A    0.26      1.00  posterior_mean
48                       randstim_b_B    0.27      2.03  posterior_mean
49                       randstim_AR1    0.02      0.44  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.00      0.00  posterior_mean
52                    randstim_stim_B    0.00      0.00  posterior_mean
53               randstim_sigma_sub_A    0.23      1.10  posterior_mean
54               randstim_sigma_sub_B    0.23      1.11  posterior_mean
55              randstim_sigma_stim_A    0.09      0.28  posterior_mean
56              randstim_sigma_stim_B    0.08      0.27  posterior_mean
57                 randstim_cond_diff    0.36      1.03  posterior_mean
58                     randstim_sigma    0.01      1.00  posterior_mean
59                       randstim_b_A    0.06      0.30    posterior_SD
60                       randstim_b_B    0.06      0.30    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.09      0.29    posterior_SD
64                    randstim_stim_B    0.08      0.29    posterior_SD
65               randstim_sigma_sub_A    0.05      0.25    posterior_SD
66               randstim_sigma_sub_B    0.05      0.25    posterior_SD
67              randstim_sigma_stim_A    0.02      0.13    posterior_SD
68              randstim_sigma_stim_B    0.02      0.13    posterior_SD
69                 randstim_cond_diff    0.07      0.42    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.03      0.22  posterior_mean
72                              AR(1)    0.02      0.44  posterior_mean
73                              AR(2)    0.02      0.15  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.50      1.74  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.49      1.76  posterior_mean
76           nipymc_fixstim_cond_diff    0.06     -0.01  posterior_mean
77                        sigma_y_obs    0.01      1.00  posterior_mean
78          b_nipymc_fixstim_stimulus    0.03      0.71    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.09      0.37    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.09      0.37    posterior_SD
83           nipymc_fixstim_cond_diff    0.01      0.25    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.17      1.38  posterior_mean
86                              AR(1)    0.02      0.45  posterior_mean
87                              AR(2)    0.02      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.20      1.05  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.21      1.03  posterior_mean
90            nipymc_nostim_cond_diff    0.33      0.94  posterior_mean
91                        sigma_y_obs    0.01      1.00  posterior_mean
92          b_nipymc_nostim_condition    0.14      0.55    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.04      0.22    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.04      0.22    posterior_SD
97            nipymc_nostim_cond_diff    0.06      0.38    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.17      1.39  posterior_mean
100                             AR(1)    0.02      0.45  posterior_mean
101                             AR(2)    0.02      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.08      0.25  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.08      0.25  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.20      1.06  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.22      1.04  posterior_mean
106         nipymc_randstim_cond_diff    0.33      0.94  posterior_mean
107                       sigma_y_obs    0.01      1.00  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.55    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.02      0.13    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.02      0.13    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.04      0.23    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.04      0.22    posterior_SD
115         nipymc_randstim_cond_diff    0.06      0.39    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p16_q64_s1: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    1.39      2.93  test_statistic
1                   fixstim_cond_diff    1.22      2.50  test_statistic
2                    nostim_cond_diff    1.26      2.56  test_statistic
3                  randstim_cond_diff    1.02      2.10  test_statistic
4            nipymc_fixstim_cond_diff    0.33      0.01  test_statistic
5             nipymc_nostim_cond_diff    1.25      2.60  test_statistic
6           nipymc_randstim_cond_diff    0.94      2.06  test_statistic
7                       SPM_cond_diff    0.39      0.93  posterior_mean
8                          SPM_A_mean    0.26      0.81  posterior_mean
9                          SPM_B_mean    0.29      1.74  posterior_mean
10                            SPM_AR1    0.02      0.50  posterior_mean
11                            SPM_AR2    0.02      0.15  posterior_mean
12                      SPM_cond_diff    0.07      0.33    posterior_SD
13                         SPM_A_mean    0.05      0.21    posterior_SD
14                         SPM_B_mean    0.05      0.23    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.24      1.43  posterior_mean
18                        fixstim_AR1    0.02      0.46  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.28      1.05  posterior_mean
21                fixstim_sigma_sub_B    0.23      1.05  posterior_mean
22                  fixstim_cond_diff    0.42      0.95  posterior_mean
23                      fixstim_sigma    0.01      1.01  posterior_mean
24                          fixstim_b    0.14      1.44    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.05      0.24    posterior_SD
28                fixstim_sigma_sub_B    0.05      0.24    posterior_SD
29                  fixstim_cond_diff    0.07      0.39    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.25      0.80  posterior_mean
32                         nostim_b_B    0.27      1.63  posterior_mean
33                         nostim_AR1    0.02      0.51  posterior_mean
34                         nostim_AR2    0.02      0.16  posterior_mean
35                 nostim_sigma_sub_A    0.25      0.87  posterior_mean
36                 nostim_sigma_sub_B    0.21      0.87  posterior_mean
37                   nostim_cond_diff    0.38      0.84  posterior_mean
38                       nostim_sigma    0.01      1.04  posterior_mean
39                         nostim_b_A    0.06      0.24    posterior_SD
40                         nostim_b_B    0.05      0.25    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.05      0.21    posterior_SD
44                 nostim_sigma_sub_B    0.04      0.21    posterior_SD
45                   nostim_cond_diff    0.06      0.34    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.31      0.93  posterior_mean
48                       randstim_b_B    0.32      1.86  posterior_mean
49                       randstim_AR1    0.02      0.47  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.01      0.00  posterior_mean
52                    randstim_stim_B    0.01     -0.00  posterior_mean
53               randstim_sigma_sub_A    0.27      1.00  posterior_mean
54               randstim_sigma_sub_B    0.22      1.00  posterior_mean
55              randstim_sigma_stim_A    0.31      0.99  posterior_mean
56              randstim_sigma_stim_B    0.23      0.97  posterior_mean
57                 randstim_cond_diff    0.42      0.93  posterior_mean
58                     randstim_sigma    0.01      1.01  posterior_mean
59                       randstim_b_A    0.07      0.33    posterior_SD
60                       randstim_b_B    0.05      0.33    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.29      0.96    posterior_SD
64                    randstim_stim_B    0.21      0.94    posterior_SD
65               randstim_sigma_sub_A    0.05      0.23    posterior_SD
66               randstim_sigma_sub_B    0.04      0.23    posterior_SD
67              randstim_sigma_stim_A    0.03      0.19    posterior_SD
68              randstim_sigma_stim_B    0.02      0.19    posterior_SD
69                 randstim_cond_diff    0.07      0.46    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.04      0.25  posterior_mean
72                              AR(1)    0.02      0.48  posterior_mean
73                              AR(2)    0.02      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.49      1.54  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.49      1.48  posterior_mean
76           nipymc_fixstim_cond_diff    0.08      0.00  posterior_mean
77                        sigma_y_obs    0.01      1.01  posterior_mean
78          b_nipymc_fixstim_stimulus    0.08      0.98    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.09      0.34    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.09      0.33    posterior_SD
83           nipymc_fixstim_cond_diff    0.01      0.24    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.17      1.14  posterior_mean
86                              AR(1)    0.02      0.51  posterior_mean
87                              AR(2)    0.02      0.16  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.22      0.83  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.21      0.81  posterior_mean
90            nipymc_nostim_cond_diff    0.35      0.79  posterior_mean
91                        sigma_y_obs    0.01      1.04  posterior_mean
92          b_nipymc_nostim_condition    0.14      0.47    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.04      0.19    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.03      0.19    posterior_SD
97            nipymc_nostim_cond_diff    0.05      0.31    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.20      1.25  posterior_mean
100                             AR(1)    0.02      0.48  posterior_mean
101                             AR(2)    0.02      0.16  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.26      0.93  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.27      0.94  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.24      0.96  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.23      0.93  posterior_mean
106         nipymc_randstim_cond_diff    0.35      0.84  posterior_mean
107                       sigma_y_obs    0.01      1.02  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.53    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.02      0.18    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.02      0.19    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.04      0.21    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.04      0.21    posterior_SD
115         nipymc_randstim_cond_diff    0.05      0.42    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p16_q64_s2: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    2.05      3.10  test_statistic
1                   fixstim_cond_diff    1.82      2.62  test_statistic
2                    nostim_cond_diff    1.86      2.68  test_statistic
3                  randstim_cond_diff    1.04      1.49  test_statistic
4            nipymc_fixstim_cond_diff    0.52      0.33  test_statistic
5             nipymc_nostim_cond_diff    1.87      2.75  test_statistic
6           nipymc_randstim_cond_diff    0.91      1.47  test_statistic
7                       SPM_cond_diff    0.44      0.75  posterior_mean
8                          SPM_A_mean    0.27      0.53  posterior_mean
9                          SPM_B_mean    0.31      1.28  posterior_mean
10                            SPM_AR1    0.03      0.60  posterior_mean
11                            SPM_AR2    0.02      0.13  posterior_mean
12                      SPM_cond_diff    0.06      0.26    posterior_SD
13                         SPM_A_mean    0.05      0.15    posterior_SD
14                         SPM_B_mean    0.04      0.17    posterior_SD
15                            SPM_AR1    0.01      0.03    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.28      1.24  posterior_mean
18                        fixstim_AR1    0.03      0.51  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.36      0.88  posterior_mean
21                fixstim_sigma_sub_B    0.24      0.87  posterior_mean
22                  fixstim_cond_diff    0.54      0.83  posterior_mean
23                      fixstim_sigma    0.02      1.05  posterior_mean
24                          fixstim_b    0.26      2.06    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.06      0.21    posterior_SD
28                fixstim_sigma_sub_B    0.04      0.21    posterior_SD
29                  fixstim_cond_diff    0.07      0.34    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.25      0.52  posterior_mean
32                         nostim_b_B    0.28      1.14  posterior_mean
33                         nostim_AR1    0.04      0.63  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.27      0.55  posterior_mean
36                 nostim_sigma_sub_B    0.20      0.54  posterior_mean
37                   nostim_cond_diff    0.41      0.61  posterior_mean
38                       nostim_sigma    0.03      1.11  posterior_mean
39                         nostim_b_A    0.06      0.17    posterior_SD
40                         nostim_b_B    0.04      0.17    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.04      0.16    posterior_SD
44                 nostim_sigma_sub_B    0.03      0.16    posterior_SD
45                   nostim_cond_diff    0.05      0.24    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.40      0.80  posterior_mean
48                       randstim_b_B    0.39      1.61  posterior_mean
49                       randstim_AR1    0.03      0.53  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.03     -0.00  posterior_mean
52                    randstim_stim_B    0.03      0.00  posterior_mean
53               randstim_sigma_sub_A    0.35      0.84  posterior_mean
54               randstim_sigma_sub_B    0.24      0.83  posterior_mean
55              randstim_sigma_stim_A    0.54      1.79  posterior_mean
56              randstim_sigma_stim_B    0.36      1.78  posterior_mean
57                 randstim_cond_diff    0.55      0.81  posterior_mean
58                     randstim_sigma    0.02      1.05  posterior_mean
59                       randstim_b_A    0.10      0.40    posterior_SD
60                       randstim_b_B    0.07      0.40    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.52      1.73    posterior_SD
64                    randstim_stim_B    0.35      1.71    posterior_SD
65               randstim_sigma_sub_A    0.06      0.20    posterior_SD
66               randstim_sigma_sub_B    0.04      0.20    posterior_SD
67              randstim_sigma_stim_A    0.06      0.28    posterior_SD
68              randstim_sigma_stim_B    0.04      0.27    posterior_SD
69                 randstim_cond_diff    0.09      0.57    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.05      0.29  posterior_mean
72                              AR(1)    0.03      0.56  posterior_mean
73                              AR(2)    0.02      0.15  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.50      1.13  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.49      1.12  posterior_mean
76           nipymc_fixstim_cond_diff    0.12      0.07  posterior_mean
77                        sigma_y_obs    0.02      1.06  posterior_mean
78          b_nipymc_fixstim_stimulus    0.15      1.34    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.09      0.27    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.09      0.27    posterior_SD
83           nipymc_fixstim_cond_diff    0.02      0.23    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.16      0.80  posterior_mean
86                              AR(1)    0.04      0.63  posterior_mean
87                              AR(2)    0.02      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.23      0.52  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.23      0.51  posterior_mean
90            nipymc_nostim_cond_diff    0.39      0.59  posterior_mean
91                        sigma_y_obs    0.03      1.11  posterior_mean
92          b_nipymc_nostim_condition    0.15      0.36    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.03      0.15    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.03      0.15    posterior_SD
97            nipymc_nostim_cond_diff    0.05      0.23    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.21      1.03  posterior_mean
100                             AR(1)    0.03      0.53  posterior_mean
101                             AR(2)    0.02      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.45      1.71  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.45      1.73  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.28      0.80  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.28      0.78  posterior_mean
106         nipymc_randstim_cond_diff    0.43      0.72  posterior_mean
107                       sigma_y_obs    0.02      1.05  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.54    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.05      0.26    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.05      0.26    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.04      0.19    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.04      0.19    posterior_SD
115         nipymc_randstim_cond_diff    0.07      0.51    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    1.06      3.41  test_statistic
1                   fixstim_cond_diff    0.96      3.30  test_statistic
2                    nostim_cond_diff    0.96      3.31  test_statistic
3                  randstim_cond_diff    0.79      2.69  test_statistic
4            nipymc_fixstim_cond_diff    0.86      2.34  test_statistic
5             nipymc_nostim_cond_diff    0.98      3.32  test_statistic
6           nipymc_randstim_cond_diff    0.81      2.75  test_statistic
7                       SPM_cond_diff    0.33      1.19  posterior_mean
8                          SPM_A_mean    0.26      1.21  posterior_mean
9                          SPM_B_mean    0.25      2.40  posterior_mean
10                            SPM_AR1    0.02      0.41  posterior_mean
11                            SPM_AR2    0.02      0.11  posterior_mean
12                      SPM_cond_diff    0.05      0.35    posterior_SD
13                         SPM_A_mean    0.04      0.26    posterior_SD
14                         SPM_B_mean    0.04      0.27    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.17      1.54  posterior_mean
18                        fixstim_AR1    0.02      0.44  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.20      1.06  posterior_mean
21                fixstim_sigma_sub_B    0.20      1.07  posterior_mean
22                  fixstim_cond_diff    0.28      1.03  posterior_mean
23                      fixstim_sigma    0.01      1.00  posterior_mean
24                          fixstim_b    0.10      0.84    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.02      0.20    posterior_SD
28                fixstim_sigma_sub_B    0.02      0.20    posterior_SD
29                  fixstim_cond_diff    0.03      0.31    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.21      1.01  posterior_mean
32                         nostim_b_B    0.22      2.02  posterior_mean
33                         nostim_AR1    0.02      0.45  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.20      1.04  posterior_mean
36                 nostim_sigma_sub_B    0.20      1.04  posterior_mean
37                   nostim_cond_diff    0.28      1.01  posterior_mean
38                       nostim_sigma    0.01      1.00  posterior_mean
39                         nostim_b_A    0.03      0.22    posterior_SD
40                         nostim_b_B    0.03      0.24    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.02      0.20    posterior_SD
44                 nostim_sigma_sub_B    0.02      0.20    posterior_SD
45                   nostim_cond_diff    0.04      0.31    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.22      1.02  posterior_mean
48                       randstim_b_B    0.22      2.04  posterior_mean
49                       randstim_AR1    0.02      0.44  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.01      0.00  posterior_mean
52                    randstim_stim_B    0.01      0.00  posterior_mean
53               randstim_sigma_sub_A    0.20      1.05  posterior_mean
54               randstim_sigma_sub_B    0.20      1.05  posterior_mean
55              randstim_sigma_stim_A    0.13      0.37  posterior_mean
56              randstim_sigma_stim_B    0.12      0.36  posterior_mean
57                 randstim_cond_diff    0.28      1.02  posterior_mean
58                     randstim_sigma    0.01      1.00  posterior_mean
59                       randstim_b_A    0.04      0.28    posterior_SD
60                       randstim_b_B    0.04      0.29    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.11      0.35    posterior_SD
64                    randstim_stim_B    0.10      0.34    posterior_SD
65               randstim_sigma_sub_A    0.02      0.20    posterior_SD
66               randstim_sigma_sub_B    0.02      0.20    posterior_SD
67              randstim_sigma_stim_A    0.06      0.24    posterior_SD
68              randstim_sigma_stim_B    0.06      0.24    posterior_SD
69                 randstim_cond_diff    0.05      0.38    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.11      1.04  posterior_mean
72                              AR(1)    0.02      0.46  posterior_mean
73                              AR(2)    0.02      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.24      1.04  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.23      1.02  posterior_mean
76           nipymc_fixstim_cond_diff    0.22      0.66  posterior_mean
77                        sigma_y_obs    0.01      1.00  posterior_mean
78          b_nipymc_fixstim_stimulus    0.07      0.66    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.03      0.22    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.04      0.22    posterior_SD
83           nipymc_fixstim_cond_diff    0.03      0.29    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.15      1.42  posterior_mean
86                              AR(1)    0.02      0.45  posterior_mean
87                              AR(2)    0.02      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.20      0.99  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.19      0.97  posterior_mean
90            nipymc_nostim_cond_diff    0.26      0.95  posterior_mean
91                        sigma_y_obs    0.01      1.00  posterior_mean
92          b_nipymc_nostim_condition    0.12      0.53    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.02      0.19    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.02      0.19    posterior_SD
97            nipymc_nostim_cond_diff    0.03      0.29    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.15      1.41  posterior_mean
100                             AR(1)    0.02      0.45  posterior_mean
101                             AR(2)    0.02      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.10      0.32  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.10      0.32  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.20      1.00  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.19      0.98  posterior_mean
106         nipymc_randstim_cond_diff    0.26      0.94  posterior_mean
107                       sigma_y_obs    0.01      1.00  posterior_mean
108       b_nipymc_randstim_condition    0.11      0.54    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.04      0.21    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.04      0.21    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.02      0.19    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.02      0.19    posterior_SD
115         nipymc_randstim_cond_diff    0.04      0.35    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q16_s1: 499 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    2.16      3.52  test_statistic
1                   fixstim_cond_diff    2.03      3.29  test_statistic
2                    nostim_cond_diff    2.03      3.31  test_statistic
3                  randstim_cond_diff    0.93      1.41  test_statistic
4            nipymc_fixstim_cond_diff    1.30      2.52  test_statistic
5             nipymc_nostim_cond_diff    1.99      3.34  test_statistic
6           nipymc_randstim_cond_diff    0.89      1.41  test_statistic
7                       SPM_cond_diff    0.63      1.10  posterior_mean
8                          SPM_A_mean    0.46      1.03  posterior_mean
9                          SPM_B_mean    0.46      2.12  posterior_mean
10                            SPM_AR1    0.03      0.45  posterior_mean
11                            SPM_AR2    0.02      0.11  posterior_mean
12                      SPM_cond_diff    0.06      0.33    posterior_SD
13                         SPM_A_mean    0.06      0.23    posterior_SD
14                         SPM_B_mean    0.05      0.24    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.30      1.44  posterior_mean
18                        fixstim_AR1    0.02      0.46  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.38      0.99  posterior_mean
21                fixstim_sigma_sub_B    0.25      0.98  posterior_mean
22                  fixstim_cond_diff    0.57      0.96  posterior_mean
23                      fixstim_sigma    0.02      1.01  posterior_mean
24                          fixstim_b    0.19      1.26    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.04      0.20    posterior_SD
28                fixstim_sigma_sub_B    0.02      0.20    posterior_SD
29                  fixstim_cond_diff    0.05      0.30    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.38      0.86  posterior_mean
32                         nostim_b_B    0.39      1.75  posterior_mean
33                         nostim_AR1    0.03      0.49  posterior_mean
34                         nostim_AR2    0.02      0.16  posterior_mean
35                 nostim_sigma_sub_A    0.37      0.85  posterior_mean
36                 nostim_sigma_sub_B    0.26      0.84  posterior_mean
37                   nostim_cond_diff    0.53      0.88  posterior_mean
38                       nostim_sigma    0.02      1.02  posterior_mean
39                         nostim_b_A    0.05      0.20    posterior_SD
40                         nostim_b_B    0.04      0.21    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.03      0.19    posterior_SD
44                 nostim_sigma_sub_B    0.02      0.19    posterior_SD
45                   nostim_cond_diff    0.05      0.28    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.42      0.94  posterior_mean
48                       randstim_b_B    0.42      1.90  posterior_mean
49                       randstim_AR1    0.02      0.46  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.07      0.00  posterior_mean
52                    randstim_stim_B    0.06      0.00  posterior_mean
53               randstim_sigma_sub_A    0.38      0.97  posterior_mean
54               randstim_sigma_sub_B    0.25      0.96  posterior_mean
