onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00825875200007	5	attend	neutral	94	n/a	n/a	1	1.0083	5	att_neut	n/a
7.01594459599983	3	rate	n/a	n/a	98	0.457904199000041	1	7.0159	3	rating_par	-0.7
15.0151343039997	5	attend	negative	24	n/a	n/a	2	15.0151	5	att_neg	n/a
21.0062033869999	3	rate	n/a	n/a	103	0.928779421999934	2	21.0062	3	rating_par	1.3
29.005433925	5	attend	negative	34	n/a	n/a	3	29.0054	5	att_neg	n/a
36.0088639059995	3	rate	n/a	n/a	98	0.93993757699991	3	36.0089	3	rating_par	-0.7
41.004060577	5	suppress	negative	58	n/a	n/a	4	41.0041	5	suppr_neg	n/a
48.007541768	3	rate	n/a	n/a	98	0.749393702999441	4	48.0075	3	rating_par	-0.7
53.0028914730001	5	suppress	negative	51	n/a	n/a	5	53.0029	5	suppr_neg	n/a
61.0020230339996	3	rate	n/a	n/a	121	0.476517494999825	5	61.002	3	rating_par	0.3
69.0012078549998	5	attend	negative	26	n/a	n/a	6	69.0012	5	att_neg	n/a
76.0046905429999	3	rate	n/a	n/a	103	0.766525797999748	6	76.0047	3	rating_par	1.3
83.0080309749992	5	suppress	negative	48	n/a	n/a	7	83.008	5	suppr_neg	n/a
89.0158085249996	3	rate	n/a	n/a	121	1.27601322900045	7	89.0158	3	rating_par	0.3
100.002220685	5	attend	neutral	91	n/a	n/a	8	100.0022	5	att_neut	n/a
106.009927567	3	rate	n/a	n/a	98	0.470025207999242	8	106.0099	3	rating_par	-0.7
111.005149570999	5	attend	neutral	88	n/a	n/a	9	111.0051	5	att_neut	n/a
117.012849340999	3	rate	n/a	n/a	98	0.569333525000729	9	117.0128	3	rating_par	-0.7
121.012426454	5	suppress	negative	54	n/a	n/a	10	121.0124	5	suppr_neg	n/a
127.003629555999	3	rate	n/a	n/a	98	0.952469341999858	10	127.0036	3	rating_par	-0.7
139.002251309	5	attend	negative	28	n/a	n/a	11	139.0023	5	att_neg	n/a
146.005747456999	3	rate	n/a	n/a	114	1.17380112899991	11	146.0057	3	rating_par	2.3
150.005193233999	5	attend	neutral	84	n/a	n/a	12	150.0052	5	att_neut	n/a
157.008801280999	3	rate	n/a	n/a	98	0.731194305000827	12	157.0088	3	rating_par	-0.7
163.016424978	5	suppress	negative	55	n/a	n/a	13	163.0164	5	suppr_neg	n/a
171.015610945999	3	rate	n/a	n/a	98	0.766611824999927	13	171.0156	3	rating_par	-0.7
176.011029429	5	attend	neutral	89	n/a	n/a	14	176.011	5	att_neut	n/a
183.014273791	3	rate	n/a	n/a	98	0.65616433499963	14	183.0143	3	rating_par	-0.7
188.009822641	5	attend	neutral	98	n/a	n/a	15	188.0098	5	att_neut	n/a
196.008815831	3	rate	n/a	n/a	98	0.555229844999303	15	196.0088	3	rating_par	-0.7
201.004191293	5	attend	negative	31	n/a	n/a	16	201.0042	5	att_neg	n/a
208.007667516999	3	rate	n/a	n/a	121	0.751190308000332	16	208.0077	3	rating_par	0.3
212.007171955	5	attend	neutral	81	n/a	n/a	17	212.0072	5	att_neut	n/a
219.010713987	3	rate	n/a	n/a	98	1.07572797800003	17	219.0107	3	rating_par	-0.7
225.001840712	5	attend	negative	32	n/a	n/a	18	225.0018	5	att_neg	n/a
233.000801609	3	rate	n/a	n/a	121	1.35560922900004	18	233.0008	3	rating_par	0.3
240.004306782	5	attend	neutral	86	n/a	n/a	19	240.0043	5	att_neut	n/a
247.007801352	3	rate	n/a	n/a	98	0.757455169000423	19	247.0078	3	rating_par	-0.7
