onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.00687005700001	5	attend	negative	38	n/a	n/a	1	1.0069	5	att_neg	n/a
8.01042995600073	3	rate	n/a	n/a	98	1.15008883099927	1	8.0104	3	rating_par	-0.8
13.0057874200002	5	attend	neutral	97	n/a	n/a	2	13.0058	5	att_neut	n/a
19.0133919050004	3	rate	n/a	n/a	98	0.31211013400025	2	19.0134	3	rating_par	-0.8
29.0040497580003	5	attend	negative	36	n/a	n/a	3	29.004	5	att_neg	n/a
37.0031113780005	3	rate	n/a	n/a	121	0.818605102999754	3	37.0031	3	rating_par	0.2
43.0109228420006	5	suppress	negative	53	n/a	n/a	4	43.0109	5	suppr_neg	n/a
49.0019859780004	3	rate	n/a	n/a	121	1.68320222300008	4	49.002	3	rating_par	0.2
53.0014667200003	5	suppress	negative	42	n/a	n/a	5	53.0015	5	suppr_neg	n/a
60.0048907230002	3	rate	n/a	n/a	98	0.873102520999964	5	60.0049	3	rating_par	-0.8
65.0169857750006	5	suppress	negative	47	n/a	n/a	6	65.017	5	suppr_neg	n/a
71.0079752360007	3	rate	n/a	n/a	121	1.03538469599971	6	71.008	3	rating_par	0.2
77.0156979130006	5	suppress	negative	49	n/a	n/a	7	77.0157	5	suppr_neg	n/a
84.0024932430006	3	rate	n/a	n/a	121	0.842292930999974	7	84.0025	3	rating_par	0.2
89.0145033440003	5	attend	neutral	93	n/a	n/a	8	89.0145	5	att_neut	n/a
95.0053108030006	3	rate	n/a	n/a	121	0.469038621999971	8	95.0053	3	rating_par	0.2
99.0050458350006	5	attend	negative	21	n/a	n/a	9	99.005	5	att_neg	n/a
105.01275859	3	rate	n/a	n/a	103	1.85489777700059	9	105.0128	3	rating_par	1.2
111.003921276	5	attend	negative	25	n/a	n/a	10	111.0039	5	att_neg	n/a
119.003048486	3	rate	n/a	n/a	114	0.511762921000809	10	119.003	3	rating_par	2.2
127.002161221	5	suppress	negative	57	n/a	n/a	11	127.0022	5	suppr_neg	n/a
134.005660124	3	rate	n/a	n/a	121	0.351618229999985	11	134.0057	3	rating_par	0.2
141.008991348001	5	attend	neutral	83	n/a	n/a	12	141.009	5	att_neut	n/a
147.016786653	3	rate	n/a	n/a	98	0.708166886000072	12	147.0168	3	rating_par	-0.8
151.016380615	5	attend	negative	23	n/a	n/a	13	151.0164	5	att_neg	n/a
159.015505375	3	rate	n/a	n/a	98	0.443971394000073	13	159.0155	3	rating_par	-0.8
170.001843664	5	attend	neutral	92	n/a	n/a	14	170.0018	5	att_neut	n/a
177.005303929001	3	rate	n/a	n/a	98	0.328057539999463	14	177.0053	3	rating_par	-0.8
183.01295938	5	attend	negative	27	n/a	n/a	15	183.013	5	att_neg	n/a
190.016552425001	3	rate	n/a	n/a	103	0.644864094999321	15	190.0166	3	rating_par	1.2
