onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig
1.0056064499995	5	attend	neutral	94	n/a	n/a	1	1.0056	5	att_neut	n/a
7.01333791100024	3	rate	n/a	n/a	98	0.416675323999698	1	7.0133	3	rating_par	-0.931
15.0124147400002	5	attend	negative	24	n/a	n/a	2	15.0124	5	att_neg	n/a
21.003445329	3	rate	n/a	n/a	121	0.494676049999725	2	21.0034	3	rating_par	0.069
29.0027685389996	5	attend	negative	34	n/a	n/a	3	29.0028	5	att_neg	n/a
36.0061640459999	3	rate	n/a	n/a	103	0.668694943999981	3	36.0062	3	rating_par	1.069
41.0014743219999	5	suppress	negative	58	n/a	n/a	4	41.0015	5	suppr_neg	n/a
48.0048724520002	3	rate	n/a	n/a	98	0.844794152999384	4	48.0049	3	rating_par	-0.931
53.0168663899994	5	suppress	negative	51	n/a	n/a	5	53.0169	5	suppr_neg	n/a
61.016034964	3	rate	n/a	n/a	121	0.85139847299979	5	61.016	3	rating_par	0.069
69.015160082	5	attend	negative	26	n/a	n/a	6	69.0152	5	att_neg	n/a
76.0019877099994	3	rate	n/a	n/a	114	0.399614545000077	6	76.002	3	rating_par	2.069
83.0054083559999	5	suppress	negative	48	n/a	n/a	7	83.0054	5	suppr_neg	n/a
89.0130610919996	3	rate	n/a	n/a	0	0	7	89.0131	3	junk_rating	n/a
100.016203601	5	attend	neutral	91	n/a	n/a	8	100.0162	5	att_neut	n/a
106.007103780999	3	rate	n/a	n/a	98	0.322161958000834	8	106.0071	3	rating_par	-0.931
111.002488042	5	attend	neutral	88	n/a	n/a	9	111.0025	5	att_neut	n/a
117.010251562	3	rate	n/a	n/a	98	0.00342774799992185	9	117.0103	3	rating_par	-0.931
121.009816676	5	suppress	negative	54	n/a	n/a	10	121.0098	5	suppr_neg	n/a
127.000840793	3	rate	n/a	n/a	121	1.6398275800002	10	127.0008	3	rating_par	0.069
139.016299608	5	attend	negative	28	n/a	n/a	11	139.0163	5	att_neg	n/a
146.003000496999	3	rate	n/a	n/a	114	0.768131974000426	11	146.003	3	rating_par	2.069
150.002671785	5	attend	neutral	84	n/a	n/a	12	150.0027	5	att_neut	n/a
157.006083978	3	rate	n/a	n/a	98	0.403557296999679	12	157.0061	3	rating_par	-0.931
163.013827418999	5	suppress	negative	55	n/a	n/a	13	163.0138	5	suppr_neg	n/a
171.012902297	3	rate	n/a	n/a	121	1.36663354000029	13	171.0129	3	rating_par	0.069
176.00830424	5	attend	neutral	89	n/a	n/a	14	176.0083	5	att_neut	n/a
183.011684338	3	rate	n/a	n/a	98	0.397936425999433	14	183.0117	3	rating_par	-0.931
188.006995947	5	attend	neutral	98	n/a	n/a	15	188.007	5	att_neut	n/a
196.006415375999	3	rate	n/a	n/a	98	0.377908651000325	15	196.0064	3	rating_par	-0.931
201.001532802	5	attend	negative	31	n/a	n/a	16	201.0015	5	att_neg	n/a
208.004986766	3	rate	n/a	n/a	114	0.868938015999447	16	208.005	3	rating_par	2.069
212.004587067	5	attend	neutral	81	n/a	n/a	17	212.0046	5	att_neut	n/a
219.007978443999	3	rate	n/a	n/a	98	2.63564123700053	17	219.008	3	rating_par	-0.931
225.015648056999	5	attend	negative	32	n/a	n/a	18	225.0156	5	att_neg	n/a
233.014806826	3	rate	n/a	n/a	103	0.41749877500024	18	233.0148	3	rating_par	1.069
240.001677731	5	attend	neutral	86	n/a	n/a	19	240.0017	5	att_neut	n/a
247.005010426	3	rate	n/a	n/a	98	0.357434493000255	19	247.005	3	rating_par	-0.931
252.01708153	5	suppress	negative	46	n/a	n/a	20	252.0171	5	suppr_neg	n/a
259.003885351	3	rate	n/a	n/a	121	2.15030182400005	20	259.0039	3	rating_par	0.069
263.003400262	5	attend	negative	29	n/a	n/a	21	263.0034	5	att_neg	n/a
270.006827177	3	rate	n/a	n/a	103	1.40403726299974	21	270.0068	3	rating_par	1.069
276.014564	5	attend	negative	35	n/a	n/a	22	276.0146	5	att_neg	n/a
285.009431476999	3	rate	n/a	n/a	103	0.432385767000596	22	285.0094	3	rating_par	1.069
292.012943477	5	attend	neutral	90	n/a	n/a	23	292.0129	5	att_neut	n/a
301.007807644	3	rate	n/a	n/a	98	0.35305613699984	23	301.0078	3	rating_par	-0.931
307.015512700999	5	suppress	negative	59	n/a	n/a	24	307.0155	5	suppr_neg	n/a
314.002267536	3	rate	n/a	n/a	98	0.302250966000429	24	314.0023	3	rating_par	-0.931
319.01430944	5	suppress	negative	50	n/a	n/a	25	319.0143	5	suppr_neg	n/a
325.005308392	3	rate	n/a	n/a	121	2.60533846599992	25	325.0053	3	rating_par	0.069
332.008681733	5	suppress	negative	41	n/a	n/a	26	332.0087	5	suppr_neg	n/a
339.012136468	3	rate	n/a	n/a	98	0.373537647000376	26	339.0121	3	rating_par	-0.931
344.007539964	5	suppress	negative	45	n/a	n/a	27	344.0075	5	suppr_neg	n/a
